occurrence_id,start,end,days
1,2017-04-18,2017-04-19,2
2,2018-03-16,2018-03-28,9
3,2018-04-02,2018-04-02,1
4,2018-04-06,2018-04-11,3
5,2018-04-30,2018-05-03,4
6,2018-10-23,2018-10-23,1
7,2019-05-22,2019-05-24,3
8,2019-08-23,2019-08-27,3
9,2021-09-21,2021-09-22,2
10,2021-09-28,2021-10-04,5
11,2022-02-03,2022-02-03,1
12,2023-01-05,2023-01-05,1
13,2023-03-07,2023-03-08,2
14,2023-05-31,2023-05-31,1
15,2023-09-06,2023-09-08,3
16,2023-09-21,2023-09-25,3
17,2024-04-18,2024-04-18,1
18,2024-04-25,2024-04-26,2
19,2024-04-30,2024-05-01,2
20,2025-01-07,2025-01-13,3
21,2026-03-10,2026-03-16,5
